"package","clazz","func","full_signature","internal_signature","location","parameter_types","return_type","doc"
"boa.src","utility","bt_startTorrent","void bt_startTorrent(int index)","bt_startTorrent(int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:577:0","int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_deleteTorrent","void bt_deleteTorrent(int index, int delData)","bt_deleteTorrent(int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:602:0","int;int","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_getDetails","int bt_getDetails(int index, struct ctfile_t *file, int max)","bt_getDetails(int, struct ctfile_t, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:627:0","int;struct ctfile_t;int","int","[IFDEF CONFIG_RTL_BT_CLIENT] Format Return: see bt_parsefile /"
"boa.src","utility","bt_getStats","void bt_getStats(struct stats_t *statusp)","bt_getStats(struct stats_t)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:656:0","struct stats_t","void","[IFDEF CONFIG_RTL_BT_CLIENT] Return Format:""%llu\t%llu\t%u\t%u\t%llu\t%llu\t\n"", stats.up, stats.down, stats.totaltime, stats.sumtorrents, dsize, dfree); /"
"boa.src","utility","bt_setfiles","void bt_setfiles(int clientindex, int len, char *indexstr)","bt_setfiles(int, int, char)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:711:0","int;int;char","void","[IFDEF CONFIG_RTL_BT_CLIENT]  /"
"boa.src","utility","bt_getTDetails","void bt_getTDetails(char *ac,int torrent[], int size)","bt_getTDetails(char, torrent[], int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:737:0","char;torrent[];int","void","[IFDEF CONFIG_RTL_BT_CLIENT] Return Format: refer to Source Code /"
"boa.src","utility","bt_saveTorrentfile","int bt_saveTorrentfile(char *filepath, unsigned char * buffer, int len)","bt_saveTorrentfile(char, unsigned char *, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:763:0","char;unsigned char *;int","int","[IFDEF CONFIG_RTL_BT_CLIENT] "
"boa.src","utility","getCertsDb","int getCertsDb(CERTS_DB_ENTRY_Tp certsInfo, int count, int *realcount)","getCertsDb(CERTS_DB_ENTRY_Tp, int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:886:0","CERTS_DB_ENTRY_Tp;int;int","int","[IFDEF CONFIG_RTL_WAPI_SUPPORT] "
"boa.src","utility","searchCertStatus","static int searchCertStatus(CERTS_DB_ENTRY_Tp all, CERTS_DB_ENTRY_Tp cert,int status, int count)","searchCertStatus(CERTS_DB_ENTRY_Tp, CERTS_DB_ENTRY_Tp, int, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1164:0","CERTS_DB_ENTRY_Tp;CERTS_DB_ENTRY_Tp;int;int","int","[IF 0] "
"boa.src","utility","searchCertName","static int searchCertName(CERTS_DB_ENTRY_Tp all, CERTS_DB_ENTRY_Tp cert,char *buffer, int count)","searchCertName(CERTS_DB_ENTRY_Tp, CERTS_DB_ENTRY_Tp, char, int)","file://./data/project-sources/paper_c_6_CVE-XXXX-XXXX_trendnet_boa/boa/src/utility.c:1179:0","CERTS_DB_ENTRY_Tp;CERTS_DB_ENTRY_Tp;char;int","int","[IF 0] "
